instance,bs,io type,rw type,iodepth/numjobs,read iops,readbd MB/s,read la avg ums,write iops,writebd MB/s,write la avg ums,cpu %
qsh4-pressure-diskcloud-1,libaio,randwrite,4k,1,0.0,0,0.0,1318.991135,5275,756626.934389,1.479333
qsh4-pressure-diskcloud-1,libaio,randread,4k,1,2352.09608,9408,424451.428489,0.0,0,0.0,2.289333
qsh4-pressure-diskcloud-1,libaio,randrw,4k,1,835.911641,3343,415681.895169,839.321607,3357,775080.102224,1.777
qsh4-pressure-diskcloud-1,libaio,read,128k,32,2804.674922,358998,11408812.360355,0.0,0,0.0,4.090772
qsh4-pressure-diskcloud-1,libaio,write,128k,32,0.0,0,0.0,2804.262248,358945,11387893.046539,3.839596
qsh4-pressure-diskcloud-1,libaio,read,128k,32,2827.912371,361972,11314830.298457,0.0,0,0.0,4.191497
qsh4-pressure-diskcloud-1,libaio,randread,4k,32,47343.881094,189375,675577.939572,0.0,0,0.0,16.265833
qsh4-pressure-diskcloud-1,libaio,randwrite,4k,32,0.0,0,0.0,37894.730263,151578,843264.422439,25.038916
qsh4-pressure-diskcloud-1,psync,randwrite,4k,1,0.0,0,0.0,1267.409554,5069,787554.518421,1.754167
qsh4-pressure-diskcloud-1,psync,randrw,4k,1,844.391556,3377,410833.326516,845.95154,3383,769844.242907,1.986
qsh4-pressure-diskcloud-1,psync,read,128k,32,2805.187554,359064,11406115.921492,0.0,0,0.0,0.127374
qsh4-pressure-diskcloud-1,psync,write,128k,32,0.0,0,0.0,2804.539924,358981,11384375.84747,0.169113
qsh4-pressure-diskcloud-1,psync,read,128k,32,2827.942367,361976,11313321.960446,0.0,0,0.0,0.134211
qsh4-pressure-diskcloud-1,psync,randread,4k,32,45290.766182,181163,705576.383943,0.0,0,0.0,2.562464
qsh4-pressure-diskcloud-1,psync,randwrite,4k,32,0.0,0,0.0,35967.805268,143871,887694.085775,1.8268
qsh4-pressure-diskcloud-1,psync,randread,4k,1,2373.87271,9495,420706.838757,0.0,0,0.0,2.14
qsh4-pressure-diskcloud-2,libaio,randwrite,4k,1,0.0,0,0.0,1491.084182,5964,668998.604537,1.7555
qsh4-pressure-diskcloud-2,libaio,randread,4k,1,2287.826187,9151,436389.576529,0.0,0,0.0,2.300167
qsh4-pressure-diskcloud-2,libaio,randrw,4k,1,895.851041,3583,436423.740339,902.390976,3609,672612.397695,1.76
qsh4-pressure-diskcloud-2,libaio,read,128k,32,2805.960547,359162,11403596.272239,0.0,0,0.0,3.307606
qsh4-pressure-diskcloud-2,libaio,write,128k,32,0.0,0,0.0,2804.55025,358982,11386358.024738,2.470792
qsh4-pressure-diskcloud-2,libaio,read,128k,32,2838.299404,363302,11273495.500652,0.0,0,0.0,3.302637
qsh4-pressure-diskcloud-2,libaio,randread,4k,32,47102.653162,188410,679037.112548,0.0,0,0.0,15.551667
qsh4-pressure-diskcloud-2,libaio,randwrite,4k,32,0.0,0,0.0,41372.217093,165488,772196.427379,23.404961
qsh4-pressure-diskcloud-2,psync,randwrite,4k,1,0.0,0,0.0,1437.459271,5749,694097.682949,2.036833
qsh4-pressure-diskcloud-2,psync,randrw,4k,1,896.651033,3586,434390.390304,894.471055,3577,680395.203347,2.133
